event_id,primary_step_state,primary_point_state
9554760473,Primary step state: Migratory (spring),Primary point state: Stationary
9554760474,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9583000305,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9583000306,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9583000307,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14074646693,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14074646694,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14074646695,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14074607070,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14074607071,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14074607072,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100897999,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100898000,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100898001,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14073506368,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14073506369,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14073506370,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100898002,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100898003,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14100898004,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14116496513,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14116496514,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14150365593,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14132750928,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14132750929,Primary step state: State unknown (spring migratory or pre-mig stationary),Primary point state: State unknown (spring migratory or pre-mig stationary)
14132750930,Primary step state: Migratory (spring),Primary point state: State unknown (spring migratory or pre-mig stationary)
14150365594,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14150365595,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14150365596,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992913,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992914,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992915,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529091,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529092,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529093,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731085,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731086,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731087,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731088,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14331446258,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14331446259,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14331446260,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731089,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731090,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14392731091,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14514930651,Primary step state: Stationary,Primary point state: Stationary
14514930652,Primary step state: Stationary,Primary point state: Stationary
14514930653,Primary step state: Stationary,Primary point state: Stationary
14496707009,Primary step state: Stationary,Primary point state: Stationary
14496707010,Primary step state: Stationary,Primary point state: Stationary
14496707011,Primary step state: Stationary,Primary point state: Stationary
14558553323,Primary step state: Stationary,Primary point state: Stationary
14558553324,Primary step state: Stationary,Primary point state: Stationary
14558553325,Primary step state: Stationary,Primary point state: Stationary
14656089856,Primary step state: Stationary,Primary point state: Stationary
14656089857,Primary step state: Stationary,Primary point state: Stationary
14656089858,Primary step state: Stationary,Primary point state: Stationary
14774782857,Primary step state: Stationary,Primary point state: Stationary
14774782858,Primary step state: Stationary,Primary point state: Stationary
14774782859,Primary step state: Stationary,Primary point state: Stationary
14984400870,Primary step state: Stationary,Primary point state: Stationary
14984400871,Primary step state: Stationary,Primary point state: Stationary
14984400872,Primary step state: Stationary,Primary point state: Stationary
